Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC
1/1/2020,10,8,7
1/2/2020,6,4,3
1/3/2020,7,4,2
1/4/2020,7,4,2
1/5/2020,7,3,0
1/6/2020,9,7,5
1/7/2020,10,7,4
1/8/2020,8,5,2
1/9/2020,9,4,1
1/10/2020,6,4,2
1/11/2020,5,3,1
1/12/2020,5,1,-2
1/13/2020,7,3,-1
1/14/2020,3,0,-3
1/15/2020,1,1,0
1/16/2020,1,-1,-2
1/17/2020,1,0,-1
1/18/2020,1,0,-1
1/19/2020,1,-1,-2
1/20/2020,2,1,-1
1/21/2020,8,4,1
1/22/2020,8,7,5
1/23/2020,8,7,7
1/24/2020,6,4,2
1/25/2020,8,4,0
1/26/2020,7,4,1
1/27/2020,11,6,1
1/28/2020,12,4,-3
1/29/2020,6,3,2
1/30/2020,8,3,-1
1/31/2020,1,-1,-2
2/1/2020,4,2,0
2/2/2020,6,2,-2
2/3/2020,3,0,-2
2/4/2020,4,2,0
2/5/2020,2,0,-2
2/6/2020,6,0,-6
2/7/2020,6,2,-2
2/8/2020,6,4,3
2/9/2020,6,3,1
2/10/2020,3,0,-2
2/11/2020,7,1,-4
2/12/2020,6,2,-2
2/13/2020,8,6,3
2/14/2020,7,6,5
2/15/2020,6,4,3
2/16/2020,11,7,3
2/17/2020,13,10,8
2/18/2020,8,4,1
2/19/2020,6,3,0
2/20/2020,7,4,2
2/21/2020,9,7,4
2/22/2020,8,6,4
2/23/2020,8,6,3
2/24/2020,7,4,3
2/25/2020,8,7,6
2/26/2020,9,7,4
2/27/2020,8,6,3
2/28/2020,9,5,1
2/29/2020,7,4,2
3/1/2020,7,4,1
3/2/2020,9,4,0
3/3/2020,11,4,-1
3/4/2020,14,7,1
3/5/2020,8,7,6
3/6/2020,8,7,6
3/7/2020,6,3,2
3/8/2020,6,3,1
3/9/2020,8,4,2
3/10/2020,10,5,0
3/11/2020,10,5,0
3/12/2020,14,10,6
3/13/2020,10,7,3
3/14/2020,11,7,2
3/15/2020,11,7,3
3/16/2020,10,6,2
3/17/2020,10,7,3
3/18/2020,8,6,3
3/19/2020,7,4,2
3/20/2020,7,4,2
3/21/2020,8,6,4
3/22/2020,6,3,0
3/23/2020,12,6,0
